Material,Imbalance,Pawns,Knights,Bishops,Rooks,Queens,Mobility,King safety,Threats,Passed,Space,Winnable,position_id
-0.030000000000000002,0.0,-0.01,0.0,-0.030000000000000002,0.0,0.0,0.14,0.01,0.0,0.0,0.03,0.055,ff6875a6_0
-0.055,0.06,0.09,-0.05,0.11000000000000001,0.10500000000000001,0.0,0.025,0.8300000000000001,0.09,0.0,0.0,-0.04,ff6875a6_1
0.31,0.0,0.07,0.0,0.0,0.035,0.0,0.0,0.09,-0.035,0.0,0.0,-0.01,ff6875a6_2
0.305,0.0,0.07,0.0,0.0,0.06,0.0,0.03,0.345,0.08,0.0,0.0,0.01,ff6875a6_3_rand1
0.175,0.0,0.0,0.0,0.0,-0.07,0.0,0.015,0.25,0.009999999999999998,0.0,0.0,-0.095,ff6875a6_4
0.08,0.0,0.085,0.0,0.0,-0.07,0.0,0.015,-0.105,-0.145,0.125,0.0,-0.06,ff6875a6_5_rand4
,,,,,,,,,,,,,ff6875a6_6
0.1,0.0,0.0,0.0,0.0,-0.07,0.0,-0.05,-0.5800000000000001,0.165,0.0,0.0,-0.015,ff6875a6_7
,,,,,,,,,,,,,ff6875a6_8
-0.0049999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.045000000000000005,0.0,0.0,0.125,ff6875a6_9
-0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.165,0.0,0.0,0.0,-0.155,ff6875a6_10_rand3
,,,,,,,,,,,,,ff6875a6_11
-0.04,0.0,0.0,0.0,0.0,0.0,0.0,-0.015,-0.52,0.065,0.03,0.0,0.15999999999999998,ff6875a6_12_rand5
-0.15,0.0,-0.01,0.02,-0.125,-0.04,0.0,0.33,0.105,0.12,0.0,0.02,0.055,fbfb45f9_0
-0.15000000000000002,0.0,0.05,0.02,-0.15,0.0,0.0,0.20500000000000002,0.05,0.035,0.0,0.0,-0.055,fbfb45f9_1
-0.019999999999999997,0.0,0.095,-0.07,0.08,-0.07,0.0,-0.015,0.235,-0.095,0.0,0.0,0.055,fbfb45f9_2
-0.065,0.0,0.095,-0.07,0.06,0.0,0.0,0.02,0.49,-0.08,0.0,0.0,0.004999999999999999,fbfb45f9_3
-0.615,0.05,0.165,-0.05,-0.019999999999999997,-0.07,0.10500000000000001,-0.09000000000000001,0.185,-0.26,-0.09,0.0,0.09,fbfb45f9_4
-0.595,0.05,0.165,-0.05,0.009999999999999995,-0.07,0.0,-0.12,0.195,-0.135,-0.13,0.0,0.09,fbfb45f9_5_rand1
-1.355,0.29000000000000004,0.165,0.045000000000000005,0.0,-0.10500000000000001,0.0,-0.15999999999999998,-0.065,0.13,0.0,0.0,0.39499999999999996,fbfb45f9_6
-1.5550000000000002,0.29000000000000004,0.11499999999999999,0.045000000000000005,0.0,-0.10500000000000001,0.0,-0.155,0.11,-0.04000000000000001,0.0,0.0,0.40499999999999997,fbfb45f9_7
-0.9450000000000001,0.28500000000000003,0.04,-0.030000000000000002,0.0,-0.10500000000000001,0.0,-0.19499999999999998,0.195,-0.28500000000000003,0.0,0.0,0.46,fbfb45f9_8
-0.86,0.28500000000000003,0.04,-0.030000000000000002,0.0,-0.10500000000000001,0.0,-0.22,0.865,-0.61,0.0,0.0,0.35500000000000004,fbfb45f9_9_rand4
,,,,,,,,,,,,,fbfb45f9_10
-3.74,0.11,0.04,0.0,0.0,-0.005,0.0,0.19,-0.41000000000000003,0.0,0.0,0.0,0.93,fbfb45f9_11_rand2
-0.03,0.0,0.02,0.0,0.125,0.0,0.0,0.28500000000000003,-0.01,-0.39,0.0,0.06,-0.02,ee9fe90a_0
0.36000000000000004,0.08499999999999999,0.060000000000000005,0.0,0.095,0.0,0.0,0.005,0.15,-0.275,0.0,0.0,-0.06,ee9fe90a_1
0.185,0.0,-0.04,0.02,-0.030000000000000002,0.0,0.0,0.02,0.145,-0.155,0.0,0.04,0.055,bcefb09e_0
0.19,0.0,-0.04,0.02,-0.16999999999999998,0.0,0.10500000000000001,0.025,0.18,0.39,0.0,0.04,0.055,bcefb09e_1_rand2
0.030000000000000002,0.0,0.01,0.0,-0.16499999999999998,0.035,0.0,-0.004999999999999999,0.055,-0.019999999999999997,0.0,-0.03,0.01,bcefb09e_2
0.04,0.0,0.01,0.0,-0.15,0.035,0.0,0.08499999999999999,0.125,-0.595,0.0,-0.02,0.01,bcefb09e_3_rand1
1.2650000000000001,-0.39,0.01,0.0,0.030000000000000002,0.035,0.0,0.28,0.10500000000000001,-0.055,0.0,0.0,-0.01,bcefb09e_4
1.0350000000000001,-0.29000000000000004,0.2,0.0,0.019999999999999997,0.10500000000000001,0.0,0.47000000000000003,0.34500000000000003,-0.07,-0.645,0.0,-0.025,bcefb09e_5
0.885,-0.29000000000000004,0.15,0.0,-0.035,0.035,0.0,0.07999999999999999,0.59,0.025,-0.615,0.0,-0.025,bcefb09e_6
0.63,-0.155,0.004999999999999999,0.0,0.065,0.10500000000000001,0.0,0.12000000000000001,-0.03,-0.085,0.0,0.0,-0.355,bcefb09e_7
0.63,-0.155,0.004999999999999999,0.0,0.135,0.10500000000000001,0.0,0.155,-0.15,0.055,0.0,0.0,-0.335,bcefb09e_8_rand5
0.685,-0.11,0.075,0.0,-0.034999999999999996,0.10500000000000001,0.0,0.08499999999999999,0.025,0.0,-1.1400000000000001,0.0,0.085,bcefb09e_9
0.7350000000000001,-0.11,0.075,0.0,-0.034999999999999996,0.035,0.0,0.15,0.915,0.065,-1.0750000000000002,0.0,-0.045,bcefb09e_10
-1.08,-0.355,0.0,0.0,0.16,0.10500000000000001,0.0,0.15000000000000002,0.075,0.2,0.0,0.0,0.195,bcefb09e_11_rand5
0.375,0.14,0.005,-0.02,0.13,0.08,0.0,0.21000000000000002,0.31499999999999995,0.42500000000000004,0.0,0.0,0.0,dc8170d4_0
0.35,0.14,-0.07,-0.02,-0.020000000000000004,0.08,0.0,0.19,0.28500000000000003,-0.25,0.0,0.0,0.0,dc8170d4_1
0.305,0.155,-0.085,-0.02,0.105,0.125,0.0,0.14,0.26,0.405,0.0,0.0,-0.045,dc8170d4_2
0.24,0.155,-0.045000000000000005,0.030000000000000002,0.12,0.15,0.0,0.075,-0.055,1.4649999999999999,0.0,0.0,-0.02,dc8170d4_3_rand4
0.305,0.155,-0.085,-0.02,0.105,0.125,0.0,0.14,0.26,0.405,0.0,0.0,-0.045,dc8170d4_4
0.22499999999999998,0.0,-0.04,-0.030000000000000002,-0.06999999999999999,0.0,0.0,0.405,0.13999999999999999,0.0,0.0,0.06,0.055,84b6c22d_0
0.17,0.0,-0.04,-0.030000000000000002,-0.175,0.11499999999999999,0.0,0.71,0.7150000000000001,-0.675,0.0,0.06,0.08,84b6c22d_1_rand2
0.065,0.0,-0.045,0.0,-0.060000000000000005,0.0,0.0,0.39,0.08,-0.53,0.0,0.035,-0.02,84b6c22d_2
-0.16500000000000004,-0.034999999999999996,0.42,0.0,0.355,0.04,0.0,-0.08,0.37,0.315,0.0,0.0,0.06,84b6c22d_3
