material,pawn_structure,mobility,king_safety,tempo,knight_position,bishop_position,queen_position,piece_coordination,threats,rizz,total,position_id
0.0,0.2,0.3,0.0,0.1,0.4,0.3,0.0,0.2,0.2,0.7,3.7,ff6875a6_0
0.3,0.3,0.8,-0.9,0.6,0.7,0.2,0.0,0.5,0.7,0.8,3.8,ff6875a6_1
-0.1,0.2,0.4,-0.7,0.2,0.2,0.0,0.0,0.3,0.6,7.0,-0.2,ff6875a6_2
0.75,-0.25,1.5,-2.5,0.75,1.25,0.0,0.0,1.0,1.75,0.8,5.5,ff6875a6_3_rand1
1.2,1.8,0.9,-0.95,0.7,0.6,0.3,0.8,0.85,0.95,9.0,7.8,ff6875a6_4
2.5,1.0,0.9,-0.9,0.8,0.3,0.4,0.0,0.7,0.9,0.9,0.95,ff6875a6_5_rand4
0.2,-0.3,0.7,-0.9,0.4,0.0,0.0,0.5,0.6,0.8,9.0,1.7,ff6875a6_6
-0.2,0.3,-0.4,-0.8,0.2,0.1,-0.5,-0.6,-0.3,0.9,7.0,-0.3,ff6875a6_7
3.5,2.0,2.5,-4.0,2.0,1.0,1.0,0.0,3.0,4.0,9.0,13.5,ff6875a6_8
1.3,0.2,-0.8,-1.5,1.0,-0.3,0.0,0.0,0.7,1.2,0.9,-0.7,ff6875a6_9
0.3,0.6,0.9,-0.9,0.7,0.2,0.1,0.0,0.8,0.9,9.0,0.85,ff6875a6_10_rand3
-0.3,-0.2,0.8,0.9,0.7,0.6,0.0,0.5,0.9,0.95,0.9,0.9,ff6875a6_11
0.2,-0.8,1.5,-2.0,0.7,0.4,0.6,0.0,1.2,1.8,0.9,3.5,ff6875a6_12_rand5
0.1,0.2,0.3,0.1,0.0,0.0,0.4,0.0,0.2,0.3,7.5,0.7,fbfb45f9_0
-0.1,-0.1,0.2,0.4,0.1,0.3,0.1,0.0,0.3,0.2,0.7,0.3,fbfb45f9_1
0.75,0.5,1.25,-2.0,0.75,0.5,0.75,1.0,1.0,1.5,0.8,7.0,fbfb45f9_2
4.0,-1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,9.0,12.0,fbfb45f9_3
4.0,1.5,9.0,-9.0,7.0,8.0,0.0,9.0,10.0,10.0,9.0,48.5,fbfb45f9_4
3.5,1.5,3.0,-3.0,2.0,1.5,0.5,2.0,2.0,3.0,8.0,8.5,fbfb45f9_5_rand1
0.7,0.4,1.2,-1.8,1.5,1.0,0.0,1.0,0.9,1.7,0.8,6.3,fbfb45f9_6
-0.3,-0.3,-0.7,-0.8,0.2,0.0,-0.2,-0.6,-0.5,0.6,6.5,-0.3,fbfb45f9_7
1.6,0.4,0.8,-0.9,0.7,0.3,0.1,1.2,0.9,0.9,0.9,0.8,fbfb45f9_8
4.0,-0.3,0.8,-0.9,0.7,0.4,0.1,0.9,0.7,0.9,0.8,0.75,fbfb45f9_9_rand4
5.5,0.2,1.5,-1.8,1.2,0.3,0.2,1.8,1.0,2.0,8.0,6.5,fbfb45f9_10
5.0,0.3,0.8,1.0,0.3,0.5,0.6,1.0,0.7,1.0,0.9,6.8,fbfb45f9_11_rand2
0.75,0.6,0.8,0.7,0.3,0.5,0.3,0.6,0.7,0.5,8.5,3.3,ee9fe90a_0
1.2,-0.3,1.8,0.7,1.0,0.8,0.0,0.5,1.2,2.0,1.5,9.5,ee9fe90a_1
0.0,-0.1,0.3,0.2,0.2,0.7,0.0,0.0,0.3,0.4,7.0,1.7,bcefb09e_0
-0.1,0.2,0.3,0.2,0.1,0.3,0.3,0.7,0.4,0.3,7.0,0.3,bcefb09e_1_rand2
0.7,0.4,0.9,-0.8,0.5,0.3,0.6,0.8,0.7,0.9,0.8,1.8,bcefb09e_2
0.1,-0.2,0.8,0.4,0.2,0.6,0.4,0.3,0.7,0.5,7.0,0.8,bcefb09e_3_rand1
3.5,-1.5,1.5,-1.0,0.5,-1.0,1.0,2.0,1.2,1.8,8.0,8.0,bcefb09e_4
4.5,1.5,2.5,-3.0,1.5,1.5,0.5,2.0,1.5,3.0,9.0,13.5,bcefb09e_5
4.0,0.2,0.8,0.7,0.3,0.6,0.4,0.9,0.7,0.5,0.8,5.4,bcefb09e_6
1.2,-0.7,0.9,-0.8,0.6,0.3,0.4,0.0,0.6,0.9,0.7,-0.5,bcefb09e_7
1.5,2.0,3.5,-3.0,2.0,2.0,1.5,0.0,4.0,4.5,8.5,8.0,bcefb09e_8_rand5
2.0,1.2,2.8,-3.5,1.5,0.0,0.8,0.0,3.2,3.0,9.0,10.5,bcefb09e_9
-1.5,1.2,-1.8,-2.5,-1.2,0.0,0.0,0.0,-0.7,1.0,8.0,-6.5,bcefb09e_10
6.5,-3.5,8.5,9.5,1.5,8.0,7.0,0.0,8.5,9.0,8.0,9.5,bcefb09e_11_rand5
