material,pawn_structure,mobility,king_safety,tempo,total,position_id
1.0,12.0,10.0,1.0,4.0,4.7,ff6875a6_0
10,3,2.5,1.0,0.75,0.75,ff6875a6_1
10,4,2.5,0.75,0.75,0.75,ff6875a6_2
1,1,1,1,0,0,ff6875a6_3_rand1
1,1,1,1,0,0,ff6875a6_4
1,1,1,1,0,0,ff6875a6_5_rand4
1.0,1.0,1.0,1.0,1.0,1.0,ff6875a6_6
1.0,1.0,1.0,1.0,1.0,1.0,ff6875a6_7
1.0,1.0,1.0,1.0,1.0,1.0,ff6875a6_8
1,1,1,1,0,0,ff6875a6_9
1.0,1.0,1.0,1.0,1.0,1.0,ff6875a6_10_rand3
1,1,1,1,0,0,ff6875a6_11
12,3,2.5,0.75,0.75,0.75,ff6875a6_12_rand5
12,2,9,7,0,1.0,fbfb45f9_0
8,2,4,1,2,2.7,fbfb45f9_1
1.5,3,1.2,0.8,0.75,0.75,fbfb45f9_2
1.0,1.0,1.0,0.5,1.0,1.0,fbfb45f9_3
12,2,10,1,2,2.7,fbfb45f9_4
12,6,8,1,2,2.5,fbfb45f9_5_rand1
1.0,3.0,2.0,2.0,1.0,3.0,fbfb45f9_6
1,1,1,2,0,0.75,fbfb45f9_7
1.0,3.0,2.0,2.0,1.0,2.5,fbfb45f9_8
1.0,1.0,1.0,1.0,1.0,1.0,fbfb45f9_9_rand4
1.0,1.0,1.0,1.0,1.0,1.0,fbfb45f9_10
1.0,3.0,2.0,1.0,1.0,2.5,fbfb45f9_11_rand2
2,4,8,2,2,2.0,ee9fe90a_0
10,3,4,1,1.5,0.85,ee9fe90a_1
2,3,2,1,1,1.0,bcefb09e_0
2,3,2.5,1.2,1.5,4.3,bcefb09e_1_rand2
12,7,9,1,2,3.2,bcefb09e_2
12,2,10,1,4,7.5,bcefb09e_3_rand1
2,1,1,1,0,0,bcefb09e_4
1,1,1,1,0,0,bcefb09e_5
1,1,1,1,0,0,bcefb09e_6
1.0,3.0,2.0,2.0,1.0,3.0,bcefb09e_7
1,1,1,0,0,0,bcefb09e_8_rand5
1.0,1.0,1.0,1.0,1.0,1.0,bcefb09e_9
1,1,1,1,0,0,bcefb09e_10
1,1,1,1,0,0,bcefb09e_11_rand5
2,6,4,4,2,0.75,dc8170d4_0
1,3,2,1,0,0,dc8170d4_1
2,3,4,2,2,2.5,dc8170d4_2
2,1,2,3,0,0.75,dc8170d4_3_rand4
2,3,4,2,2,2.7,dc8170d4_4
6,6,9,1,0,1.0,84b6c22d_0
4,12,9,2,2,2.5,84b6c22d_1_rand2
9,2,8,1,2,2.7,84b6c22d_2
1.0,3.0,2.0,2.0,1.0,2.5,84b6c22d_3
2.5,3,1.5,0.75,0.75,0.75,84b6c22d_4
2,3,2,1,1,2.0,84b6c22d_5
8,4,2,1,0.75,0.75,84b6c22d_6
3,2,4,1,2,2.7,064c4f75_0
9,2,8,2,2,2.5,064c4f75_1
3,2,4,1,2,2.7,064c4f75_2
